Contribution,Annotation 1,Annotation 2
this paper will focus on presenting the best NER performance achieved to date on full chemical patent corpus,Resources,Resources
"Our main research contribution is a new neural model that detects ADRs by firstly learning to classify sentiment, using a publicly available corpus of Tweets that is annotated with sentiment information and then using transfer learning to adapt this classifier to the detection of ADRs in social media postings",Theory Proposal,Theory Proposal
This work instead examines the evolution in biomedical knowledge over time using scientific literature in terms of diachronic change.,Performance Evaluation,Performance Evaluation
"we present our approach towards extracting outcomes, significance levels and relations between them, that can be incorporated into a spin detection pipeline",Algorithm/Method Optimization,Algorithm/Method Optimization
"In this paper, we describe the tasks, the datasets, and the participants’ approaches and results of shared task.",Theory Proposal,Theory Proposal
"we demonstrate that we can achieve significant performance gains over traditional deep learning models like ESIM by adapting pre-trained language
models into the medical domain",Model Proposal,Model Proposal
"we introduce an end-to-end system, trained in a multi-task setting, to filter
and re-rank answers in medical domain",Theory Proposal,Theory Proposal
we investigate different methods to combine and transfer the knowledge from the two different sources and illustrate our results on the MEDIQA shared task,Performance Evaluation,Performance Evaluation
We apply the transfer learning method with two general domain NLI datasets and show that a source task in a domain can benefit learning a target task in a different domain,Model Optimization,Model Optimization
We show the independent strengths of the proposed approaches in quantitative and qualitative manners,Performance Evaluation,Performance Evaluation
"we propose a hybrid approach to biomedical NLI, which includes three main components",Model Proposal,New Algorithm/ Method
"To enhance our model, we also use model ensemble and conflict resolution strategies",Model Optimization,Model Optimization
we specialize our model on the MedNLI dataset.,Model Optimization,Model Optimization
"In this paper, we propose a novel model called Adversarial Multi-Task Network (AMTN) for jointly modeling Recognizing Question Entailment (RQE) and medical Question Answering (QA) tasks.",Model Proposal,Model Proposal
"Our approach for both task 1 and task 2 is based on the state-of-the-art natural language understanding model MT-DNN (Liu et al., 2019), which combines the strength of multi-task learning (MTL) and language model pre-training. MTL in deep networks has shown performance gains when related tasks are trained together resulting in better generalization to new domains",Theory Proposal,Theory Proposal
